id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Humble Fire,Kendrick Lamar,hip-hop,motivated,0.88,92,0.72,0.85,0.12
12,Golden Hour Drive,Kacey Musgraves,country,contemplative,0.45,85,0.48,0.52,0.78
13,Cello Moon,Yo-Yo Ma,classical,peaceful,0.35,72,0.52,0.15,0.95
14,Neon Afterglow,Daft Punk,electronic,euphoric,0.92,128,0.88,0.95,0.05
15,Velvet Midnight,Sade,soul,sensual,0.58,95,0.62,0.68,0.48
16,Island Sun,Bob Marley & The Wailers,reggae,tropical,0.52,98,0.75,0.70,0.68
17,Iron Storm,Metallica,metal,aggressive,0.95,160,0.25,0.62,0.08
18,Autumn Echoes,Bon Iver,folk,melancholic,0.42,88,0.38,0.41,0.89
19,Sweden,C418,ambient electronic,peaceful,0.32,76,0.68,0.28,0.85
20,Night Runner,The Weeknd,alt r&b,brooding,0.74,116,0.42,0.79,0.18
21,City Lights,Dua Lipa,dance pop,confident,0.86,123,0.78,0.91,0.10
22,Verano Azul,Bad Bunny,latin urbano,playful,0.81,100,0.69,0.88,0.14